ticket_id,order_id,customer_id,driver_id,restaurant_id,agent_id,reason_id,priority_id,channel_id,status,refund_amount,created_at,first_response_at,resolved_at,sla_first_due_at,sla_resolve_due_at
3c178a5e-7207-43ed-b51a-c4ca6fdd354b,3bb9d7df-1b6f-4e91-aa62-c338800a3540,299,87,8,1,3,3,4,Closed,0.0,2026-02-20 15:32:05,2026-02-20 15:32:55,2026-02-20 16:06:05,2026-02-20 15:33:05,2026-02-20 15:47:05
d023e529-096f-4502-9ff7-2478fb0bd4d9,f6d33dd2-ddb8-45f1-bc76-30d99aa54600,267,39,46,5,3,3,2,Closed,107.19,2026-02-20 15:24:39,2026-02-20 15:27:22,2026-02-20 15:28:39,2026-02-20 15:25:39,2026-02-20 15:39:39
af6a1d6c-76aa-4c10-ae62-62ac6a0b1dee,9281b6c2-267f-485f-8d90-8018b023c3ec,462,98,12,26,2,2,3,Resolved,117.21,2026-02-20 15:35:14,2026-02-20 15:44:47,2026-02-20 15:46:14,2026-02-20 15:36:14,2026-02-20 15:50:14
5fd936b8-ce0e-47bc-aa11-04407385e9f9,45ff52d4-096a-4e4b-93fa-b501e9b82e0d,408,81,28,26,10,1,1,Resolved,0.0,2026-02-20 14:49:09,2026-02-20 14:49:53,2026-02-20 14:55:09,2026-02-20 14:50:09,2026-02-20 15:04:09
a32db1e0-dc25-4424-95bc-4f83b50d9c43,50bf8353-9b59-4d79-a0e2-3d588f2e172f,22,23,10,7,9,3,4,Resolved,0.0,2026-02-20 15:58:42,2026-02-20 15:59:28,2026-02-20 16:11:42,2026-02-20 15:59:42,2026-02-20 16:13:42
c8a1135f-8099-4bdb-ac76-a510cfbcfeba,0cb63f5c-3270-4b03-8bf0-4146274bdfce,222,85,3,12,2,1,2,Closed,237.59,2026-02-20 15:40:38,2026-02-20 15:41:19,2026-02-20 16:30:38,2026-02-20 15:41:38,2026-02-20 15:55:38
dc153470-8be8-4324-958f-bb4cdf93794f,48c63ee0-1e25-4b5e-9a2e-75cbcab3ef74,285,17,32,5,5,1,2,Resolved,405.2,2026-02-20 14:50:19,2026-02-20 14:58:34,2026-02-20 15:27:19,2026-02-20 14:51:19,2026-02-20 15:05:19
7a64e1b5-df32-4843-a552-375909ff9056,2aaed249-4a27-4311-9654-6559ff718189,70,93,8,18,1,2,4,Closed,0.0,2026-02-20 15:35:59,2026-02-20 15:36:38,2026-02-20 15:43:59,2026-02-20 15:36:59,2026-02-20 15:50:59
4d1c05ae-3122-49f9-8086-3dacad9d5f5c,958f86b8-5df7-4ffe-b23d-a5f6b1587fcb,105,35,28,18,2,3,4,Resolved,0.0,2026-02-20 15:25:04,2026-02-20 15:25:32,2026-02-20 15:39:04,2026-02-20 15:26:04,2026-02-20 15:40:04
93e5136f-2ecf-45e9-a3ee-78495c338402,abb134dd-d2bb-4a90-b3fd-879c3c37d905,277,6,21,15,8,3,2,Closed,33.13,2026-02-20 15:40:16,2026-02-20 15:40:26,2026-02-20 15:47:16,2026-02-20 15:41:16,2026-02-20 15:55:16
4154b4d1-3819-47fa-b590-3574da9e3dcb,764c9176-1829-4e2e-afee-0f4f9d62a81c,22,40,22,4,4,3,2,Resolved,0.0,2026-02-20 14:45:56,2026-02-20 14:46:37,2026-02-20 14:49:56,2026-02-20 14:46:56,2026-02-20 15:00:56
d1bcd057-14ba-440a-a3a2-fc24b41f51a5,2ededdb6-c755-47fd-9a44-ab42f67f4351,450,98,34,22,3,4,3,Resolved,140.05,2026-02-20 16:45:13,2026-02-20 16:45:32,2026-02-20 18:04:13,2026-02-20 16:46:13,2026-02-20 17:00:13
a4870dba-3886-4943-a636-7e22a469c902,ff8e7d1a-1847-431c-9f24-3ee4698cc791,343,46,16,3,2,2,1,Closed,80.7,2026-02-20 16:33:23,2026-02-20 16:34:53,2026-02-20 16:39:23,2026-02-20 16:34:23,2026-02-20 16:48:23
eb327906-b65b-4393-80fc-c37842261316,db5f0a54-f6b2-45aa-a46d-138879c55489,450,15,5,7,2,2,4,Resolved,62.44,2026-02-20 14:17:41,2026-02-20 14:17:51,2026-02-20 14:58:41,2026-02-20 14:18:41,2026-02-20 14:32:41
8005a462-abc2-48c2-93ec-ef133e25af65,8eb41bd2-56bf-4937-af3e-10aea3ae28c4,4,44,13,8,6,2,2,Resolved,0.0,2026-02-20 16:08:56,2026-02-20 16:09:42,2026-02-20 16:16:56,2026-02-20 16:09:56,2026-02-20 16:23:56
edba82fa-49ae-4447-8f27-2835f26f9712,a43b5e6e-0c25-4aa7-8cc7-c6f14300b747,212,71,22,5,6,1,2,Resolved,15.07,2026-02-20 16:38:25,2026-02-20 16:39:13,2026-02-20 16:44:25,2026-02-20 16:39:25,2026-02-20 16:53:25
e474d985-01c3-425a-b09a-57ae4df55de4,4c0c8880-60bb-484d-aa4e-94dd67d34e52,303,16,14,10,3,3,4,Resolved,0.0,2026-02-20 15:40:00,2026-02-20 15:40:38,2026-02-20 15:55:00,2026-02-20 15:41:00,2026-02-20 15:55:00
