restaurant_id,restaurant_name,region_id,category_id,price_tier,rating_avg,prep_time_avg_min,is_active,created_at,updated_at
1,Chicken House,13,1,High,4.63,19,True,2020-10-30 00:00:00,2026-03-10 17:51:33.782362
2,Crispy Wings,7,1,High,4.09,24,True,2020-07-23 00:00:00,2026-03-10 17:51:33.782362
3,Golden Chicken,3,1,High,4.64,22,True,2019-06-28 00:00:00,2026-03-10 17:51:33.782362
4,Chicken Palace,13,1,Low,4.03,21,True,2019-04-25 00:00:00,2026-03-10 17:51:33.782362
5,Clucky's,12,1,Mid,3.45,25,True,2021-03-01 00:00:00,2026-03-10 17:51:33.782362
6,Wing Masters,10,1,Mid,3.8,19,True,2019-06-29 00:00:00,2026-03-10 17:51:33.782362
7,Pizza Corner,15,2,High,4.89,29,True,2023-07-09 00:00:00,2026-03-10 17:51:33.783365
8,Italiano,14,2,High,4.72,19,True,2022-05-09 00:00:00,2026-03-10 17:51:33.783365
9,Cheesy Bites,7,2,Mid,4.01,25,True,2022-04-24 00:00:00,2026-03-10 17:51:33.783365
10,Pizza Express,3,2,Low,3.9,23,True,2022-02-12 00:00:00,2026-03-10 17:51:33.783365
11,Dough Masters,5,2,Low,3.52,27,True,2021-10-01 00:00:00,2026-03-10 17:51:33.783365
12,Slice Heaven,10,2,High,3.72,29,True,2023-06-09 00:00:00,2026-03-10 17:51:33.783365
13,Burger Lab,10,3,High,,17,True,2022-09-25 00:00:00,2026-03-10 17:51:33.783365
14,Grill House,14,3,Low,4.04,20,True,2019-09-02 00:00:00,2026-03-10 17:51:33.783365
15,Patty Palace,16,3,Low,4.22,15,True,2022-03-04 00:00:00,2026-03-10 17:51:33.783365
16,Burger Station,9,3,High,4.37,11,True,2023-02-10 00:00:00,2026-03-10 17:51:33.783365
17,Smash Kitchen,9,3,Low,4.19,12,True,2023-12-04 00:00:00,2026-03-10 17:51:33.783365
18,Bun & Beef,12,3,Low,3.29,15,True,2020-12-30 00:00:00,2026-03-10 17:51:33.783365
19,Wok & Roll,10,4,High,4.29,17,True,2023-04-19 00:00:00,2026-03-10 17:51:33.783365
20,Dragon Kitchen,4,4,High,4.48,32,True,2020-10-09 00:00:00,2026-03-10 17:51:33.783365
21,Sushi Bar,10,4,Mid,4.37,26,True,2022-04-02 00:00:00,2026-03-10 17:51:33.783365
22,Noodle House,5,4,Low,3.43,24,True,2021-09-20 00:00:00,2026-03-10 17:51:33.783365
23,Eastern Flavors,6,4,Low,3.57,31,True,2020-01-21 00:00:00,2026-03-10 17:51:33.783365
24,Bamboo Garden,18,4,High,4.37,31,True,2022-12-30 00:00:00,2026-03-10 17:51:33.783365
25,Ocean Catch,4,5,Mid,3.98,22,True,2019-09-26 00:00:00,2026-03-10 17:51:33.783365
26,Fish Market,16,5,Mid,3.73,31,True,2021-06-24 00:00:00,2026-03-10 17:51:33.783365
27,Sea Breeze,17,5,Mid,3.49,29,True,2023-07-27 00:00:00,2026-03-10 17:51:33.783365
28,Lobster House,5,5,High,3.44,27,True,2020-03-05 00:00:00,2026-03-10 17:51:33.783365
29,Neptune's,3,5,Mid,4.37,23,True,2023-05-06 00:00:00,2026-03-10 17:51:33.783365
30,Anchor Grill,14,5,Low,3.53,21,True,2021-11-17 00:00:00,2026-03-10 17:51:33.783365
31,Smoke House,16,6,Low,4.74,16,True,2022-09-29 00:00:00,2026-03-10 17:51:33.783365
32,,4,6,High,3.55,21,True,2020-12-20 00:00:00,2026-03-10 17:51:33.783365
33,,9,6,High,3.79,20,True,2023-05-19 00:00:00,2026-03-10 17:51:33.783365
34,Meat Masters,8,6,High,4.17,18,True,2023-04-13 00:00:00,2026-03-10 17:51:33.783365
35,,7,6,Mid,3.49,32,True,2023-01-25 00:00:00,2026-03-10 17:51:33.783365
36,Flame & Fork,7,6,High,4.65,30,True,2022-04-22 00:00:00,2026-03-10 17:51:33.783365
37,Koshary El Prince,4,7,Low,4.62,14,True,2021-11-19 00:00:00,2026-03-10 17:51:33.783365
38,Koshary Station,4,7,Mid,3.41,9,True,2021-10-12 00:00:00,2026-03-10 17:51:33.783365
39,Egyptian Bowl,10,7,High,4.43,9,True,2019-08-25 00:00:00,2026-03-10 17:51:33.783365
40,Koshary House,15,7,High,4.45,15,True,2021-04-14 00:00:00,2026-03-10 17:51:33.783365
41,Traditional Koshary,14,7,Low,4.66,15,True,2021-01-22 00:00:00,2026-03-10 17:51:33.783365
